subset,family,order,model,label,hugFav,hugOver,entFav,distinctFav,spreadRateFav,nFavSamples,TTRfav,genericShareFav,nDescFav
all,Anthropic,1,claude-opus-4-1,Claude Opus 4.1,0.3023255813953488,0.4186046511627907,0.20378446313395868,90,0.2710843373493976,332,0.3551212938005391,0.20619946091644206,1484
all,Anthropic,2,claude-opus-4-5,Claude Opus 4.5,0.4883720930232558,0.3953488372093023,0.1478017683063975,79,0.21010638297872342,376,0.3681462140992167,0.17362924281984335,1532
all,Anthropic,3,claude-opus-4-8,Claude Opus 4.8,0.3023255813953488,0.47619047619047616,0.14613600413458142,76,0.2345679012345679,324,0.37555886736214605,0.18628912071535023,1342
all,OpenAI,1,gpt-4o,GPT-4o,0.32558139534883723,0.5581395348837209,0.282989900436157,111,0.28316326530612246,392,0.24729241877256317,0.13959085439229843,1662
all,OpenAI,2,o3,o3,0.4883720930232558,0.5813953488372093,0.3482917991233319,136,0.3408521303258145,399,0.340251572327044,0.22641509433962265,1590
all,OpenAI,3,gpt-5.2,GPT-5.2,0.3488372093023256,0.5581395348837209,0.3365436790151665,133,0.31666666666666665,420,0.2730727470141151,0.21986970684039087,1842
all,OpenAI,4,gpt-5.6-sol,GPT-5.6 Sol,0.4883720930232558,0.5581395348837209,0.17182519344481334,82,0.26973684210526316,304,0.3002309468822171,0.19168591224018475,1299
clean,Anthropic,1,claude-opus-4-1,Claude Opus 4.1,0.2682926829268293,0.43902439024390244,0.24559242056352806,85,0.2961672473867596,287,0.37616822429906543,0.2071651090342679,1284
clean,Anthropic,2,claude-opus-4-5,Claude Opus 4.5,0.4523809523809524,0.40476190476190477,0.17484864407778064,74,0.24749163879598662,299,0.38994229183841717,0.18466611706512778,1213
clean,Anthropic,3,claude-opus-4-8,Claude Opus 4.8,0.375,0.5151515151515151,0.1426632295191092,55,0.2669902912621359,206,0.4203069657615112,0.179456906729634,847
clean,OpenAI,1,gpt-4o,GPT-4o,0.2857142857142857,0.45,0.2693207511102343,48,0.39669421487603307,121,0.36327345309381237,0.11177644710578842,501
clean,OpenAI,2,o3,o3,0.4883720930232558,0.5116279069767442,0.3463630476344035,133,0.35092348284960423,379,0.34215751158173396,0.23560555923229648,1511
clean,OpenAI,3,gpt-5.2,GPT-5.2,0.3023255813953488,0.5581395348837209,0.33917672518478875,133,0.321256038647343,414,0.27413127413127414,0.22173193601765032,1813
clean,OpenAI,4,gpt-5.6-sol,GPT-5.6 Sol,0.4418604651162791,0.5581395348837209,0.17182519344481334,82,0.26973684210526316,304,0.3002309468822171,0.18090839107005388,1299
