domain,n_favorite,n_overrated,mean_breadth_favorite,mean_breadth_overrated
childrensbook,108,87,4.296,11.805
tvshow,108,72,2.37,9.556
book,128,108,2.352,9.148
poem,124,60,2.758,8.983
architect,108,111,5.037,9.604
blogger,106,122,4.358,8.566
painting,112,119,2.946,6.571
psychologist,84,88,5.179,8.182
economist,140,114,4.307,7.272
theologian,104,96,3.413,5.927
album,122,123,5.033,7.439
street,143,104,3.51,5.798
typeface,99,92,7.485,9.478
mathematician,96,135,4.583,6.244
videogame,104,120,5.144,6.717
aimodel,143,115,4.133,5.574
sport,152,112,4.967,6.348
word,104,88,5.115,6.443
airesearcher,116,91,5.164,6.418
historian,108,121,3.583,4.802
novelist,119,111,3.034,4.018
decade,76,71,5.382,6.239
artmovement,88,84,7.148,7.952
actress,77,94,5.805,6.511
boardgame,96,108,7.74,8.324
scientist,126,114,3.937,4.509
philosopher,100,116,4.99,5.466
computerscientist,104,117,6.788,6.991
city,104,89,8.817,8.73
musical,96,100,5.0,4.81
film,120,109,4.217,4.018
color,132,119,5.758,5.084
building,132,112,5.962,5.214
uscity,64,68,5.438,4.647
dish,130,131,3.223,2.298
season,56,68,10.929,9.941
object,128,123,3.883,2.764
monument,124,115,4.234,3.043
smell,104,108,7.788,6.204
actor,112,102,4.527,2.775
play,96,104,5.958,3.673
religioustext,73,115,7.288,4.626
cuisine,64,82,10.5,7.402
