word,favorite_count,overrated_count,favorite_share,in_favorite_top50,in_overrated_top50
elegant,1070,89,0.9232,True,True
luminous,383,0,1.0,True,False
repetitive,2,341,0.0058,False,True
geometric,318,9,0.9725,True,False
precise,291,13,0.9572,True,False
poetic,271,21,0.9281,True,False
minimalist,234,25,0.9035,True,False
sculptural,130,104,0.5556,True,True
honest,205,3,0.9856,True,False
intimate,186,4,0.9789,True,False
restrained,166,21,0.8877,True,False
mathematical,180,5,0.973,True,False
architectural,180,3,0.9836,True,False
timeless,182,1,0.9945,True,False
restraint,176,6,0.967,True,False
crystalline,177,0,1.0,True,False
organic,170,3,0.9827,True,False
rigorous,150,23,0.8671,True,False
shallow,0,162,0.0,False,True
beautiful,138,16,0.8961,True,False
playful,151,2,0.9869,True,False
contemplative,147,1,0.9932,True,False
harmonious,148,0,1.0,True,False
layered,144,0,1.0,True,False
austere,134,9,0.9371,True,False
warm,132,6,0.9565,True,False
hollow,0,135,0.0,False,True
musical,132,1,0.9925,True,False
tedious,0,128,0.0,False,True
rigid,0,126,0.0,False,True
clarity,124,2,0.9841,True,False
serene,123,3,0.9762,True,False
precision,116,7,0.9431,True,False
exhausting,0,123,0.0,False,True
polished,5,112,0.0427,False,True
spectacle,0,117,0.0,False,True
dreamlike,113,3,0.9741,True,False
calm,112,3,0.9739,True,False
romanticized,1,112,0.0088,False,True
superficial,0,112,0.0,False,True
profound,104,7,0.9369,True,False
reductive,0,111,0.0,False,True
meditative,105,5,0.9545,True,False
performative,1,108,0.0092,False,True
rhythmic,104,1,0.9905,True,False
iconic,12,91,0.1165,False,True
balanced,103,0,1.0,True,False
clean,94,7,0.9307,True,False
ambiguous,57,43,0.57,False,False
thin,0,99,0.0,False,True
melancholic,90,8,0.9184,True,False
mythologized,0,97,0.0,False,True
predictable,0,97,0.0,False,True
monumental,72,24,0.75,True,False
spare,91,4,0.9579,True,False
sparse,38,57,0.4,False,True
sublime,94,1,0.9895,True,False
quiet,89,3,0.9674,True,False
melancholy,74,17,0.8132,True,False
mythic,46,44,0.5111,False,False
formulaic,0,90,0.0,False,True
crowded,0,90,0.0,False,True
abstract,39,51,0.4333,False,False
sterile,9,81,0.1,False,True
commercialized,0,89,0.0,False,True
fluid,87,0,1.0,True,False
ethereal,84,3,0.9655,True,False
dramatic,42,43,0.4941,False,False
bland,0,85,0.0,False,True
speculative,10,74,0.119,False,True
delicate,67,15,0.8171,False,False
stark,70,12,0.8537,True,False
vivid,69,11,0.8625,False,False
accessible,19,61,0.2375,False,True
one-note,0,80,0.0,False,True
cold,13,66,0.1646,False,True
dated,0,79,0.0,False,True
minimal,66,13,0.8354,False,False
cinematic,75,4,0.9494,True,False
dynamic,74,3,0.961,True,False
foundational,14,63,0.1818,False,True
tension,73,4,0.9481,True,False
impractical,0,77,0.0,False,True
philosophical,69,7,0.9079,False,False
complex,55,20,0.7333,False,False
atmospheric,47,27,0.6351,False,False
theatrical,22,52,0.2973,False,False
intricate,73,1,0.9865,True,False
recursive,73,0,1.0,True,False
lyrical,69,4,0.9452,True,False
graceful,68,5,0.9315,False,False
optimistic,50,23,0.6849,False,False
ubiquitous,1,71,0.0139,False,True
technical,3,68,0.0423,False,True
ironic,25,46,0.3521,False,False
oversimplified,0,71,0.0,False,True
chaotic,17,54,0.2394,False,True
elegance,68,2,0.9714,False,False
symbolic,21,48,0.3043,False,False
rhetorical,1,68,0.0145,False,True
vibrant,67,2,0.971,False,False
aphoristic,11,58,0.1594,False,True
heavy,0,69,0.0,False,True
mysterious,67,1,0.9853,False,False
alive,67,0,1.0,False,False
collaborative,16,51,0.2388,False,False
flattened,0,67,0.0,False,True
confident,17,50,0.2537,False,False
safe,0,66,0.0,False,True
nostalgic,23,42,0.3538,False,False
painterly,64,0,1.0,False,False
simple,37,26,0.5873,False,False
paradoxical,52,10,0.8387,False,False
disconnected,0,62,0.0,False,True
whimsical,32,30,0.5161,False,False
sentimental,0,62,0.0,False,True
haunting,61,0,1.0,False,False
imaginative,53,8,0.8689,False,False
underwhelming,0,60,0.0,False,True
symmetrical,60,0,1.0,False,False
cloying,0,60,0.0,False,True
unfalsifiable,0,60,0.0,False,True
muted,9,50,0.1525,False,False
neutral,3,54,0.0526,False,True
detached,1,55,0.0179,False,True
literary,44,11,0.8,False,False
transcendent,50,5,0.9091,False,False
overhyped,0,55,0.0,False,True
subtle,17,38,0.3091,False,False
functional,48,7,0.8727,False,False
clever,3,51,0.0556,False,False
inauthentic,0,54,0.0,False,True
mystical,11,43,0.2037,False,False
simplistic,0,54,0.0,False,True
tidy,1,52,0.0189,False,False
depth,51,1,0.9808,False,False
tactile,52,0,1.0,False,False
expansive,49,3,0.9423,False,False
dense,13,39,0.25,False,False
flat,0,52,0.0,False,False
patient,51,0,1.0,False,False
meticulous,43,8,0.8431,False,False
generic,0,51,0.0,False,False
immersive,44,7,0.8627,False,False
troubling,0,50,0.0,False,False
fragmented,18,32,0.36,False,False
overshadowed,0,49,0.0,False,False
static,0,49,0.0,False,False
coherent,49,0,1.0,False,False
refined,41,8,0.8367,False,False
