model,family,domain,n_eligible,self_lab_share,top_other_lab,top_other_lab_share
claude-opus-4-1,Anthropic,aimodel,12,0.0,OpenAI,1.0
claude-opus-4-1,Anthropic,pooled,12,0.0,OpenAI,1.0
claude-opus-4-5,Anthropic,aimodel,8,0.875,OpenAI,0.125
claude-opus-4-5,Anthropic,airesearcher,1,0.0,Google,1.0
claude-opus-4-5,Anthropic,pooled,9,0.778,OpenAI,0.111
claude-opus-4-8,Anthropic,aimodel,12,0.083,OpenAI,0.917
claude-opus-4-8,Anthropic,airesearcher,9,0.0,Google,1.0
claude-opus-4-8,Anthropic,pooled,21,0.048,OpenAI,0.524
claude-fable-5,Anthropic,aimodel,8,0.0,Google,1.0
claude-fable-5,Anthropic,airesearcher,4,0.0,Google,1.0
claude-fable-5,Anthropic,pooled,12,0.0,Google,1.0
gpt-4o,OpenAI,aimodel,8,1.0,,
gpt-4o,OpenAI,airesearcher,4,0.0,Google,1.0
gpt-4o,OpenAI,pooled,12,0.667,Google,0.333
o3,OpenAI,aimodel,7,0.429,Google,0.571
o3,OpenAI,airesearcher,3,0.0,Google,1.0
o3,OpenAI,pooled,10,0.3,Google,0.7
gpt-5.2,OpenAI,aimodel,12,0.917,Google,0.083
gpt-5.2,OpenAI,airesearcher,7,0.0,Google,1.0
gpt-5.2,OpenAI,pooled,19,0.579,Google,0.421
gpt-5.6-sol,OpenAI,aimodel,12,0.75,Anthropic,0.167
gpt-5.6-sol,OpenAI,airesearcher,4,0.0,Google,1.0
gpt-5.6-sol,OpenAI,pooled,16,0.562,Google,0.312
gemini-3.1-pro-preview,Google,aimodel,11,1.0,,
gemini-3.1-pro-preview,Google,airesearcher,8,0.0,Anthropic,1.0
gemini-3.1-pro-preview,Google,pooled,19,0.579,Anthropic,0.421
gemini-3.5-flash,Google,aimodel,12,0.833,Anthropic,0.167
gemini-3.5-flash,Google,pooled,12,0.833,Anthropic,0.167
deepseek-v4-pro,DeepSeek,aimodel,6,0.0,OpenAI,0.5
deepseek-v4-pro,DeepSeek,airesearcher,7,0.0,Google,1.0
deepseek-v4-pro,DeepSeek,pooled,13,0.0,Google,0.692
kimi-k2.6,Moonshot,aimodel,12,0.0,OpenAI,1.0
kimi-k2.6,Moonshot,airesearcher,2,0.0,Google,1.0
kimi-k2.6,Moonshot,pooled,14,0.0,OpenAI,0.857
grok-4.5,xAI,aimodel,12,0.667,Anthropic,0.333
grok-4.5,xAI,airesearcher,12,0.0,Google,0.75
grok-4.5,xAI,pooled,24,0.333,Google,0.375
