axis,value,probe,count
region,Japan,favorite,4
region,Japan,overrated,0
region,East-Asia,favorite,0
region,East-Asia,overrated,0
region,Southeast-Asia,favorite,0
region,Southeast-Asia,overrated,0
region,South-Asia,favorite,0
region,South-Asia,overrated,0
region,Middle-East,favorite,0
region,Middle-East,overrated,0
region,Western-Europe,favorite,276
region,Western-Europe,overrated,291
region,Southern-Europe,favorite,0
region,Southern-Europe,overrated,27
region,Eastern-Europe,favorite,21
region,Eastern-Europe,overrated,3
region,North-America,favorite,88
region,North-America,overrated,80
region,Latin-America,favorite,0
region,Latin-America,overrated,1
region,Africa,favorite,0
region,Africa,overrated,0
region,Oceania,favorite,0
region,Oceania,overrated,0
region,Unknown,favorite,0
region,Unknown,overrated,0
era,1950s,favorite,30
era,1950s,overrated,0
era,1960s,favorite,20
era,1960s,overrated,84
era,1970s,favorite,39
era,1970s,overrated,111
era,1980s,favorite,11
era,1980s,overrated,10
era,1990s,favorite,22
era,1990s,overrated,33
era,2000s,favorite,61
era,2000s,overrated,8
era,2010s,favorite,3
era,2010s,overrated,72
era,Baroque,favorite,71
era,Baroque,overrated,0
era,ContemporaryClassical,favorite,87
era,ContemporaryClassical,overrated,84
era,Romantic-19thC,favorite,45
era,Romantic-19thC,overrated,0
