rank,model,label,family,rate_total,n_confident_total,rate_favorite,rate_overrated
1,gemini-3.5-flash,Gemini 3.5 Flash,Google,0.5000,7,0.2857,0.7143
2,kimi-k2.6,Kimi K2.6,Moonshot,0.5000,7,0.2857,0.7143
3,grok-4.5,Grok 4.5,xAI,0.5000,7,0.4286,0.5714
4,claude-opus-4-5,Claude Opus 4.5,Anthropic,0.4286,6,0.1429,0.7143
5,claude-opus-4-8,Claude Opus 4.8,Anthropic,0.4286,6,0.2857,0.5714
6,claude-opus-4-1,Claude Opus 4.1,Anthropic,0.3571,5,0.1429,0.5714
7,claude-fable-5,Claude Fable 5,Anthropic,0.3571,5,0.2857,0.4286
8,gpt-4o,GPT-4o,OpenAI,0.2857,4,0.1429,0.4286
9,gpt-5.2,GPT-5.2,OpenAI,0.2857,4,0.0000,0.5714
10,deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,0.2857,4,0.2857,0.2857
11,o3,o3,OpenAI,0.2143,3,0.1429,0.2857
12,gpt-5.6-sol,GPT-5.6 Sol,OpenAI,0.2143,3,0.0000,0.4286
13,gemini-3.1-pro-preview,Gemini 3.1 Pro,Google,0.0000,0,0.0000,0.0000
